Price,Close,High,Low,Open,Volume
Ticker,ITUB4.SA,ITUB4.SA,ITUB4.SA,ITUB4.SA,ITUB4.SA
Date,,,,,
2021-02-10,22.60820770263672,23.016444221732936,22.355100101498117,22.779666972135775,31528310
2021-02-11,22.60820770263672,22.967456593176276,22.453077071645268,22.85314927148768,24641760
2021-02-12,22.66536521911621,22.942967559254367,22.37143423645865,22.47757555193754,27352820
2021-02-17,22.951128005981445,23.089928296101597,22.56738441514671,22.69802038538543,27102570
2021-02-18,22.7878360748291,23.269556707429984,22.706189439084785,22.796002108830887,54255080
2021-02-19,22.551055908203125,23.024610446590607,22.322442958938897,22.771504537537837,29616620
2021-02-22,20.90994644165039,21.726421502700575,20.844626723731892,21.67743214252032,95136580
2021-02-23,22.248958587646484,22.395924909217023,21.105893859452113,21.154881491286325,84110620
2021-02-24,21.92237663269043,22.469415379684193,21.726422608068894,22.395933048709757,39210270
2021-02-25,21.236528396606445,22.093828169727914,21.212033725823815,21.96319049656515,45070960
2021-02-26,20.86095428466797,21.546794957034802,20.82829528660451,21.391662574940568,53127470
2021-03-01,20.224103927612305,21.20387562914046,20.224103927612305,21.14672195155307,49640250
2021-03-02,21.040573120117188,21.489634632798747,19.53009364228228,19.864847840593818,73130970
2021-03-03,21.08956527709961,21.465144575835563,20.264926082225312,21.04057764115332,67705440
2021-03-04,21.750913619995117,22.126491247308625,21.171215966693588,21.244698285271447,72309930
2021-03-05,22.55922508239746,22.714355759608928,21.652937410256257,21.82439673084033,85427100
2021-03-08,21.84072494506836,22.844991309849913,21.68559598393934,21.963196620093846,62856530
2021-03-09,22.14281463623047,22.502063507732064,21.51412782632737,21.734578138768256,41239880
2021-03-10,22.306116104125977,22.44491812986475,21.726418463609814,22.134656793547784,41088080
2021-03-11,22.338773727416992,22.763340673649587,22.02851241019149,22.534727702601266,37994330
2021-03-12,22.191808700561523,22.461246717133392,22.093833420215333,22.167315736992098,27023920
2021-03-15,22.453081130981445,22.52656344361836,22.02851247055136,22.167314488129485,30899660
2021-03-16,21.99585723876953,22.485742223754848,21.72641921225188,22.461247546247005,24072950
2021-03-17,22.853153228759766,22.902142578833296,21.85705300326121,21.93053531533738,39583720
2021-03-18,22.983795166015625,23.449187260147326,22.73068745547577,22.804171499623667,50388140
2021-03-19,23.032777786254883,23.33487305809123,22.657198491782072,23.05727246046704,52034840
2021-03-22,23.163414001464844,23.171578321941,22.453080433289372,22.85315269303005,39365590
2021-03-23,22.575550079345703,23.285885351109897,22.56738575897811,22.861316709518086,34882980
2021-03-24,22.183645248413086,22.69802315931479,22.183645248413086,22.567387173111022,44135080
2021-03-25,22.575550079345703,22.60004475348255,21.938700543026123,22.04484184690704,57258410
2021-03-26,22.918476104736328,22.951135107401186,22.44492142261314,22.46941438983591,36025110
2021-03-29,22.91029930114746,23.03277092267863,22.534720118594155,22.959288634973355,25215410
2021-03-30,23.285886764526367,23.310379727115834,22.72251779035359,22.730682111216744,26232140
2021-03-31,22.836822509765625,23.253225095370457,22.60004352767556,23.11442309147953,32316680
2021-04-01,22.126489639282227,22.967460933252823,22.126489639282227,22.967460933252823,35020590
